Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-06-23,195.69,197.55,192.13,196.4,10130700,0,0
2016-06-24,190.05,195.12,189.73,193.15,7026500,0,0
2016-06-27,190.86,198.81,187.87,198.55,7205400,0,0
2016-06-28,201.89,204.05,199.41,201.79,6212400,0,0
2016-06-29,205.13,211.78,203.0,210.19,5994900,0,0
2016-06-30,212.97,213.5,209.02,212.28,4843100,0,0
2016-07-01,206.14,218.24,206.0,216.5,5400000,0,0
2016-07-05,209.73,214.54,208.0,213.98,5175300,0,0
2016-07-06,210.0,215.23,209.0,214.44,4919900,0,0
2016-07-07,213.1,218.12,213.01,215.94,3612000,0,0
2016-07-08,217.8,219.81,214.5,216.78,4074800,0,0
2016-07-11,219.96,226.78,219.51,224.78,5429800,0,0
2016-07-12,224.1,227.5,223.22,224.65,4571300,0,0
2016-07-13,225.5,225.59,220.29,222.53,3567100,0,0
2016-07-14,223.12,224.94,221.05,221.53,2675800,0,0
2016-07-15,222.52,222.75,219.64,220.4,2234200,0,0
2016-07-18,219.64,227.09,218.3,226.25,3412100,0,0
2016-07-19,225.0,229.1,224.75,225.26,3115100,0,0
2016-07-20,226.47,229.8,225.0,228.36,2568500,0,0
2016-07-21,226.0,227.85,219.1,220.5,4428700,0,0
2016-07-22,221.99,224.5,218.88,222.27,2579700,0,0
2016-07-25,222.27,231.39,221.37,230.01,4490700,0,0
2016-07-26,227.69,230.0,225.3,229.51,3430000,0,0
2016-07-27,229.34,233.36,226.92,228.49,2889000,0,0
2016-07-28,227.95,230.76,226.6,230.61,2419100,0,0
2016-07-29,230.7,235.28,230.24,234.79,3070800,0,0
2016-08-01,235.5,236.63,229.38,230.01,4016300,0,0
2016-08-02,229.37,229.87,221.4,227.2,3934400,0,0
2016-08-03,227.37,229.7,224.21,225.79,3887800,0,0
2016-08-04,225.69,230.86,222.05,230.61,4147000,0,0
2016-08-05,230.0,232.0,227.4,230.03,3205200,0,0
2016-08-08,228.0,229.6,226.09,226.16,2263600,0,0
2016-08-09,226.82,231.54,226.65,229.08,2207800,0,0
2016-08-10,228.24,229.87,224.62,225.65,2338300,0,0
2016-08-11,226.17,227.57,223.41,224.91,1880900,0,0
2016-08-12,225.41,226.65,224.04,225.61,1813500,0,0
2016-08-15,226.02,229.5,224.93,225.59,2034300,0,0
2016-08-16,225.49,227.19,223.41,223.61,2267100,0,0
2016-08-17,224.33,224.83,222.8,223.24,1787100,0,0
2016-08-18,223.82,225.66,222.29,223.51,1714500,0,0
2016-08-19,223.54,225.17,222.53,225.0,1659500,0,0
2016-08-22,224.17,225.11,222.68,222.93,2065500,0,0
2016-08-23,224.32,228.49,222.8,224.84,4784400,0,0
2016-08-24,227.05,227.15,222.22,222.62,2570700,0,0
2016-08-25,223.11,223.8,220.77,220.96,1762500,0,0
2016-08-26,222.14,222.86,218.82,219.99,2239000,0,0
2016-08-29,220.15,220.4,215.0,215.2,3266300,0,0
2016-08-30,216.11,216.11,210.52,211.34,3168900,0,0
2016-08-31,210.43,212.6,208.65,212.01,3276500,0,0
2016-09-01,209.01,211.1,200.5,200.77,7943100,0,0
2016-09-02,202.33,203.2,196.2,197.78,5977400,0,0
2016-09-06,199.02,203.25,199.0,202.83,4390600,0,0
2016-09-07,205.5,206.5,200.71,201.71,3640900,0,0
2016-09-08,199.55,199.89,196.36,197.36,3377900,0,0
2016-09-09,199.09,199.92,193.7,194.47,3757000,0,0
2016-09-12,195.0,201.37,194.1,198.3,3715200,0,0
2016-09-13,197.06,198.49,193.45,196.05,3589400,0,0
2016-09-14,195.75,197.92,194.86,196.41,2254500,0,0
2016-09-15,196.49,202.52,196.4,200.42,3077200,0,0
2016-09-16,200.42,205.7,199.0,205.4,3107800,0,0
2016-09-19,207.0,209.43,205.0,206.34,2299500,0,0
2016-09-20,206.85,207.75,203.91,204.64,2410500,0,0
2016-09-21,206.37,207.0,201.56,205.22,2633500,0,0
2016-09-22,206.4,207.28,203.0,206.43,2382900,0,0
2016-09-23,205.99,210.18,205.67,207.45,2905200,0,0
2016-09-26,206.5,211.0,206.5,208.99,2394400,0,0
2016-09-27,209.65,209.98,204.61,205.81,3373200,0,0
2016-09-28,207.51,208.25,205.26,206.27,2088400,0,0
2016-09-29,205.6,207.33,200.58,200.7,2727000,0,0
2016-09-30,202.21,204.98,199.55,204.03,2586300,0,0
2016-10-03,212.3,215.67,208.25,213.7,5999900,0,0
2016-10-04,213.1,213.32,208.82,211.41,3541500,0,0
2016-10-05,212.24,213.15,208.12,208.46,1877500,0,0
